source,width,height,format,sizeBytes,usedBy,aboveFold,webpPath,webpSize,avifPath,avifSize,savingPercent,status,role,webpVariants,avifVariants,webpQuality,avifQuality,psnrWebp,psnrAvif,budget,note
apps/marketing/public/images/backgrounds/mountain-bright-bg-final.png,1672,941,png,2105332,/ /about,yes (/about),/images/backgrounds/mountain-bright-bg-final.webp,134228,/images/backgrounds/mountain-bright-bg-final.avif,92424,95.6,optimized,background,640w:32286 1080w:73704 1672w:134228,640w:20771 1080w:48580 1672w:92424,80,55,37.88,37.41,OK thumbnail 640w WebP 31.5 KB/120.0 KB; OK background 原尺寸 WebP 131.1 KB/300.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/backgrounds/mountain-dark-bg-final.png,1672,941,png,2057133,/about /blog/brand-site-structure /blog/custom-domain-dns /blog/new-site-seo-first-3-months /cases /cases/booking-event-pages /cases/brand-ecommerce-site /cases/hungjui-brand-site /cases/sample-course-landing /cases/sample-festival-dm /cases/sample-lodging-site /cases/sample-select-shop /cases/seo-article-generator /products /products/ecommerce-website /products/landing-page /products/promo-page-design /products/seo-article-generator /products/seo-website /solutions,no,/images/backgrounds/mountain-dark-bg-final.webp,109396,/images/backgrounds/mountain-dark-bg-final.avif,75537,96.3,optimized,background,640w:21780 1080w:56696 1672w:109396,640w:14261 1080w:36546 1672w:75537,80,55,38.08,38.15,OK thumbnail 640w WebP 21.3 KB/120.0 KB; OK background 原尺寸 WebP 106.8 KB/300.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/blog/blog-visual-final.png,1448,1086,png,1780818,/blog,no,/images/blog/blog-visual-final.webp,106440,/images/blog/blog-visual-final.avif,62733,96.5,optimized,card,640w:37156 1080w:75210 1448w:106440,640w:21038 1080w:42589 1448w:62733,80,55,39.67,38.68,OK thumbnail 640w WebP 36.3 KB/120.0 KB; OK card 1080w WebP 73.4 KB/200.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/cases/case-visual-final.png,1448,1086,png,2349433,/cases,yes (/cases),/images/cases/case-visual-final.webp,198612,/images/cases/case-visual-final.avif,117608,95.0,optimized,hero,640w:64234 1080w:137512 1448w:198612,640w:36358 1080w:79930 1448w:117608,80,55,36.56,35.02,OK thumbnail 640w WebP 62.7 KB/120.0 KB; OK hero 原尺寸 WebP 194.0 KB/350.0 KB; OK hero 原尺寸 AVIF 114.9 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/hero/home-hero-platform-ui-final.png,1672,941,png,1935118,/,yes (/),/images/hero/home-hero-platform-ui-final.webp,110912,/images/hero/home-hero-platform-ui-final.avif,73768,96.2,optimized,hero,640w:28510 1080w:60750 1672w:110912,640w:17438 1080w:38402 1672w:73768,80,55,38.58,37.92,OK thumbnail 640w WebP 27.8 KB/120.0 KB; OK hero 原尺寸 WebP 108.3 KB/350.0 KB; OK hero 原尺寸 AVIF 72.0 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/ecommerce-website/ecommerce-backup-a-final.png,1448,1086,png,1681957,/products/ecommerce-website,no,/images/products/ecommerce-website/ecommerce-backup-a-final.webp,102768,/images/products/ecommerce-website/ecommerce-backup-a-final.avif,61196,96.4,optimized,card,640w:35868 1080w:72300 1448w:102768,640w:20773 1080w:42658 1448w:61196,80,55,39.05,37.51,OK thumbnail 640w WebP 35.0 KB/120.0 KB; OK card 1080w WebP 70.6 KB/200.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/ecommerce-website/ecommerce-backup-b-final.png,1672,941,png,1605618,/ /products/ecommerce-website,no,/images/products/ecommerce-website/ecommerce-backup-b-final.webp,89640,/images/products/ecommerce-website/ecommerce-backup-b-final.avif,54315,96.6,optimized,card,640w:26328 1080w:51936 1672w:89640,640w:15446 1080w:31028 1672w:54315,80,55,39.5,38.07,OK thumbnail 640w WebP 25.7 KB/120.0 KB; OK card 1080w WebP 50.7 KB/200.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/ecommerce-website/ecommerce-website-hero-final.png,1672,941,png,1605618,/products /products/ecommerce-website,yes (/products/ecommerce-website),/images/products/ecommerce-website/ecommerce-website-hero-final.webp,89640,/images/products/ecommerce-website/ecommerce-website-hero-final.avif,54315,96.6,optimized,hero,640w:26328 1080w:51936 1672w:89640,640w:15446 1080w:31028 1672w:54315,80,55,39.5,38.07,OK thumbnail 640w WebP 25.7 KB/120.0 KB; OK hero 原尺寸 WebP 87.5 KB/350.0 KB; OK hero 原尺寸 AVIF 53.0 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/landing-page/landing-page-hero-final.png,1672,941,png,2168118,/ /products /products/landing-page,yes (/products/landing-page),/images/products/landing-page/landing-page-hero-final.webp,154682,/images/products/landing-page/landing-page-hero-final.avif,98896,95.4,optimized,hero,640w:34786 1080w:81152 1672w:154682,640w:20463 1080w:50319 1672w:98896,80,55,37.45,36.5,OK thumbnail 640w WebP 34.0 KB/120.0 KB; OK hero 原尺寸 WebP 151.1 KB/350.0 KB; OK hero 原尺寸 AVIF 96.6 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
apps/marketing/public/images/products/promo-page-design/promo-page-design-hero-final.png,1672,941,png,1852439,/products /products/promo-page-design,yes (/products/promo-page-design),/images/products/promo-page-design/promo-page-design-hero-final.webp,119264,/images/products/promo-page-design/promo-page-design-hero-final.avif,69467,96.2,optimized,hero,640w:30334 1080w:65848 1672w:119264,640w:17753 1080w:38373 1672w:69467,80,55,37.67,35.82,OK thumbnail 640w WebP 29.6 KB/120.0 KB; OK hero 原尺寸 WebP 116.5 KB/350.0 KB; OK hero 原尺寸 AVIF 67.8 KB/250.0 KB,PNG 原檔保留（<img> fallback，現代瀏覽器載入 AVIF / WebP）
